Hampshire,Southwark,Westminster,Kensington and Chelsea,Lambeth,Hertfordshire,Surrey,Oxfordshire,Barnet,Brent,Devon,Bromley,Hammersmith and Fulham,Tower Hamlets,Buckinghamshire,Hackney and City of London,Cumbria,Ealing,Wandsworth,Essex,Birmingham,Camden,Greenwich,Wolverhampton,Lewisham,Kent,Haringey,Newham,Hillingdon,Harrow,Hounslow,Lancashire,Manchester,Bexley,Walsall,Merton,Nottinghamshire,Nottingham,Slough,Trafford,Cambridgeshire,Northamptonshire,Liverpool,Leeds,Islington,Gloucestershire,Cornwall and Isles of Scilly,Oldham,Stockport,Tameside,Enfield,Sutton,Staffordshire,West Sussex,East Riding of Yorkshire,Windsor and Maidenhead,Brighton and Hove,Dudley,Barking and Dagenham,"Bristol, City of",Wokingham,North Yorkshire,Cheshire East,Wiltshire,Bury,Bradford,Havering,Waltham Forest,East Sussex,Leicestershire,South Gloucestershire,Torbay,Central Bedfordshire,"Bournemouth, Christchurch and Poole",Wirral,Sandwell,Croydon,Cheshire West and Chester,Bolton,Newcastle upon Tyne,Derbyshire,Somerset,Southend-on-Sea,Medway,Rochdale,Salford,Wigan,Wakefield,Redbridge,Lincolnshire,Warwickshire,Stockton-on-Tees,Halton,Warrington,Blackpool,York,Bath and North East Somerset,North Somerset,Luton,Bracknell Forest,West Berkshire,Reading,Milton Keynes,Portsmouth,Southampton,Sefton,North Tyneside,Coventry,Calderdale,Richmond upon Thames,Norfolk,Suffolk,Plymouth,Swindon,Isle of Wight,Shropshire,Dorset,St. Helens,Barnsley,Kirklees,Redcar and Cleveland,Darlington,Blackburn with Darwen,"Kingston upon Hull, City of",North Lincolnshire,"Herefordshire, County of",Thurrock,County Durham,Bedford,Knowsley,Rotherham,Sheffield,Sunderland,Solihull,Kingston upon Thames,Worcestershire,Derby,Northumberland,Leicester,Doncaster,Peterborough,South Tyneside,Hartlepool,Stoke-on-Trent,Gateshead,Middlesbrough,North East Lincolnshire,Telford and Wrekin,Rutland
69,58,58,49,43,36,30,25,24,24,24,23,23,23,23,22,22,21,21,21,20,20,19,18,18,18,17,17,16,15,15,15,14,14,13,13,13,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
77,70,68,55,61,50,39,34,27,45,25,32,25,25,27,29,34,42,59,27,25,30,19,22,22,21,29,23,21,40,24,15,18,17,14,34,28,14,13,14,14,15,12,12,29,12,10,12,10,12,27,12,14,10,10,10,11,10,14,12,10,11,8,9,7,8,7,14,8,14,9,6,6,7,8,6,32,5,7,13,27,7,5,4,6,4,4,5,7,7,10,6,4,4,4,4,3,4,3,3,3,5,4,4,4,4,7,4,3,7,4,10,5,3,2,3,5,2,6,2,1,2,1,1,1,3,2,3,1,1,4,36,3,1,7,5,11.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,
87,82,78,57,81,52,45,34,28,66,26,40,28,33,39,32,38,53,75,31,34,36,33,28,39,25,32,32,29,56,29,24,21,22,16,39,29,14,17,13,15,16,13,15,35,15,10,14,13,14,30,14,18,16,10,13,12,11,18,12,9,13,9,12,8,7,14,17,8,17,12,8,7,9,8,7,49,7,9,19,40,10,4,8,9,9,4,6,18,7,11,9,4,4,3,5,4,4,3,3,3,7,5,5,7,6,10,4,3,12,11,13,7,4,2,3,7,2,7,3,1,2,1,1,1,3,3,5,1,3,3,40,4,1,14,8,9.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,
107,110,99,66,103,61,57,40,76,75,30,52,36,43,39,45,52,54,98,43,54,46,41,39,47,32,44,42,34,60,38,26,26,31,20,45,41,22,20,15,16,17,14,17,45,22,16,14,21,19,48,19,25,19,15,13,14,18,21,13,12,14,9,17,10,9,19,23,8,20,13,10,8,10,9,11,68,10,13,21,50,10,5,11,12,10,6,6,27,9,13,9,5,4,5,6,5,4,4,3,6,7,7,13,7,7,12,7,5,16,17,13,7,5,2,3,7,2,7,6,2,2,1,1,1,3,6,7,1,3,4,48,5,3,17,10,12.0,7.0,11.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,
138,134,110,75,118,75,65,44,81,108,42,63,45,51,41,52,57,80,107,45,75,51,54,45,60,45,51,51,50,89,52,30,28,37,28,56,45,22,21,19,17,20,18,20,48,27,20,15,24,21,54,23,35,27,15,13,17,19,30,20,13,16,11,20,11,10,30,38,8,29,14,10,11,11,10,15,81,10,15,28,64,12,8,11,13,12,9,8,42,9,17,10,7,4,5,8,11,5,5,3,7,7,7,22,8,7,17,9,5,22,24,15,11,5,2,3,8,3,7,8,3,3,1,1,2,7,8,11,4,4,6,61,11,4,22,12,18.0,10.0,14.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,,,
156,139,117,81,127,92,68,52,88,128,43,67,51,57,44,64,79,97,110,53,91,53,61,52,67,48,57,57,63,103,64,44,31,39,29,56,60,34,21,23,20,21,22,29,54,29,20,23,29,21,68,24,41,27,15,13,17,24,35,23,13,20,18,23,14,11,35,50,9,43,17,16,14,12,10,20,84,11,17,34,75,13,8,11,15,23,9,10,45,14,29,11,7,4,6,10,13,5,8,3,8,8,11,25,11,8,18,14,5,25,34,18,11,6,2,3,11,3,10,11,3,3,1,1,2,7,10,11,4,4,9,82,11,4,23,19,23.0,10.0,19.0,7.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,
171,154,134,85,134,115,69,63,94,143,46,76,58,67,45,72,110,106,113,67,137,60,67,69,86,64,64,70,78,113,73,59,37,43,37,57,71,41,22,28,30,29,35,35,59,32,25,28,36,27,76,24,54,28,16,13,17,26,42,28,13,24,18,28,15,13,39,56,11,53,19,17,19,13,12,31,85,16,18,42,82,15,8,15,19,25,9,12,51,20,35,12,7,7,6,10,16,7,15,3,10,8,17,25,11,10,18,19,7,31,35,22,11,7,2,10,14,6,11,16,3,3,1,1,3,7,13,14,7,5,12,106,13,8,23,28,23.0,10.0,22.0,9.0,3.0,6.0,3.0,4.0,4.0,3.0,1.0,3.0,
207,181,143,91,188,139,110,69,99,170,48,93,70,70,50,74,129,123,155,80,187,64,77,81,97,72,72,76,85,134,82,71,41,47,43,84,78,49,22,31,37,37,41,42,66,49,30,34,42,32,84,40,76,52,16,13,25,40,45,37,13,30,25,34,17,14,44,61,21,65,19,17,22,14,15,47,128,18,19,49,101,21,8,19,24,31,11,13,57,24,52,12,8,8,8,11,17,21,19,3,12,8,25,29,24,13,20,24,7,36,42,28,16,7,3,27,15,8,15,17,7,3,2,1,5,15,15,18,7,8,16,130,20,12,36,38,37.0,13.0,24.0,13.0,6.0,8.0,3.0,9.0,5.0,7.0,3.0,9.0,
251,209,152,97,212,147,117,86,100,192,50,125,80,71,59,85,145,136,184,88,228,71,97,98,114,96,76,77,90,145,90,78,45,59,60,98,92,57,22,40,41,43,57,53,70,57,37,42,45,35,98,45,97,57,19,13,25,51,53,41,13,45,30,39,23,16,47,63,22,80,25,18,24,15,16,50,163,18,21,58,110,22,9,25,29,47,14,19,67,31,59,14,8,9,8,14,20,21,29,3,16,9,29,33,28,20,23,25,7,44,45,35,21,8,3,33,23,16,19,20,10,4,3,2,5,15,15,25,7,9,20,174,25,19,37,55,40.0,19.0,32.0,15.0,9.0,9.0,3.0,12.0,10.0,9.0,3.0,12.0,
267,253,172,110,248,170,142,98,103,228,55,149,94,93,66,119,176,165,204,130,290,85,118,103,144,112,91,109,103,167,112,102,55,77,78,108,109,67,22,46,47,64,72,67,96,64,43,48,48,40,110,54,121,69,21,14,30,60,72,51,13,50,31,43,27,23,70,95,26,98,31,21,28,15,22,65,181,24,25,80,139,23,12,32,38,52,16,24,89,32,74,16,8,10,8,14,23,22,30,3,18,10,38,42,32,24,27,35,9,55,51,42,26,11,7,44,25,17,27,24,10,5,6,4,6,21,20,29,10,12,30,240,27,29,42,76,58.0,23.0,45.0,21.0,10.0,10.0,3.0,16.0,12.0,9.0,5.0,17.0,
1317,794,428,301,766,1090,1175,583,788,880,294,620,313,428,364,444,936,589,625,1139,1524,356,410,368,617,1105,333,642,410,549,396,1111,454,343,436,417,536,261,194,272,290,547,634,437,279,429,246,267,338,217,414,324,701,330,150,126,165,358,269,245,142,352,257,195,177,278,342,463,279,433,165,66,190,131,353,435,813,289,223,464,575,152,160,236,209,285,223,229,400,363,458,152,148,211,98,101,84,96,218,90,131,141,221,136,192,351,262,299,119,235,438,314,112,111,41,184,142,306,248,255,128,95,95,74,71,84,145,450,139,227,262,1020,349,268,229,471,303.0,298.0,287.0,170.0,85.0,120.0,55.0,136.0,240.0,213.0,58.0,102.0,8.0
